ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Score_Stimulants,Score_Depressants,Score_Hallucinogens,Usage_Group
436,25-34,F,University degree,UK,White,0.04257,0.47617,-1.11902,0.59042,1.81175,-0.71126,-0.52593,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non-User
437,55-64,M,"Some college or university, no certificate or degree",USA,White,-0.67825,-0.30033,1.06238,1.81866,0.7583,-1.37983,-1.18084,1,0,0,0,2,6,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,Regular
438,45-54,M,Left school at 16 years,UK,White,-1.43907,0.47617,0.29338,-0.91699,0.41594,0.52975,0.40148,6,2,2,2,6,6,4,3,5,2,2,0,0,1,1,0,2,0,0,5,6,1,Regular
439,25-34,F,University degree,USA,White,2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987,5,2,0,6,6,2,6,2,2,0,2,0,2,0,2,2,6,0,0,6,6,2,Occasional
440,18-24,F,"Some college or university, no certificate or degree",USA,White,1.37297,-0.30033,0.29338,-0.15487,-1.78169,0.19268,-0.21575,4,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,Occasional
441,35-44,F,University degree,UK,White,-0.46725,0.47617,-0.58331,0.76096,1.81175,-0.21712,-0.52593,6,0,0,0,6,2,6,2,0,0,0,0,0,0,0,1,2,0,0,2,6,1,Occasional
442,18-24,F,"Some college or university, no certificate or degree",UK,White,-0.67825,1.45421,-2.09015,-0.01729,0.58489,0.52975,0.07987,3,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Occasional
443,25-34,F,Masters degree,UK,White,-0.92104,0.00332,0.29338,-0.15487,-0.00665,0.19268,0.07987,5,2,0,0,6,6,6,3,0,4,0,2,3,2,0,2,6,0,0,6,5,2,Regular
444,35-44,M,Left school at 16 years,UK,White,0.41667,0.63779,-0.71727,-0.76096,-0.27607,-0.21712,-0.21575,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,Non-User
445,45-54,F,Professional certificate/ diploma,UK,White,-0.46725,0.80523,0.58331,0.13136,0.7583,-2.55524,-0.84637,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Non-User
446,45-54,F,University degree,UK,White,1.02119,-0.94779,-0.58331,-0.91699,0.41594,-0.21712,-1.54858,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,Non-User
447,25-34,F,University degree,UK,White,0.22393,-1.09207,0.44585,2.75696,-0.65253,-0.71126,0.40148,6,2,2,2,5,3,5,2,0,2,0,2,3,3,3,2,6,0,0,6,6,3,Occasional
448,25-34,M,Masters degree,UK,White,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,1.29221,0.07987,6,2,1,0,6,2,6,2,0,2,0,0,2,0,0,2,6,0,0,6,6,2,Occasional
449,18-24,F,"Some college or university, no certificate or degree",UK,White,1.13281,1.45421,1.06238,-1.772,-0.89891,1.29221,1.2247,5,0,2,3,6,3,5,0,0,2,0,0,3,4,0,3,5,0,0,5,5,4,Occasional
450,18-24,M,University degree,UK,White,-0.34799,0.63779,0.44585,-0.30172,0.7583,-0.21712,0.07987,5,3,3,0,3,3,6,3,0,4,0,4,3,3,3,3,0,0,0,3,5,3,Occasional
451,18-24,F,University degree,UK,White,0.73545,-0.15487,-0.84732,0.59042,-1.0145,0.52975,0.07987,5,2,2,2,6,5,4,2,2,2,0,2,2,0,0,2,6,0,0,6,5,2,Regular
452,18-24,F,Masters degree,UK,White,-1.1943,0.80523,-0.84732,-0.15487,0.7583,0.19268,-0.52593,5,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,Occasional
453,35-44,F,University degree,UK,White,-0.14882,-0.15487,0.14143,0.13136,0.93949,-1.37983,0.07987,5,0,0,0,3,2,6,2,0,0,0,0,0,0,0,0,3,0,0,3,5,0,Occasional
454,25-34,M,University degree,UK,White,1.23461,-1.7625,-0.31776,0.13136,0.41594,-1.37983,-0.21575,5,2,3,0,4,3,5,0,0,2,0,2,2,0,0,2,2,0,0,2,5,2,Occasional
455,45-54,M,Doctorate degree,UK,White,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,1.86203,0.7654,6,6,2,5,6,6,6,3,2,3,5,2,4,4,5,3,4,0,1,6,6,4,Regular
456,18-24,F,University degree,UK,White,0.82562,-0.80615,0.7233,-0.76096,-2.57309,0.88113,-0.21575,6,3,3,0,6,3,5,0,0,2,0,0,4,0,0,0,5,0,0,5,6,0,Occasional
457,35-44,M,University degree,UK,White,1.60383,-0.43999,0.29338,-2.21844,-0.65253,0.88113,0.40148,6,3,1,4,6,4,6,3,1,3,3,2,2,2,1,2,6,0,1,6,6,2,Occasional
458,35-44,F,Masters degree,UK,White,-0.46725,-0.57545,0.14143,0.59042,0.7583,-1.37983,-2.07848,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Non-User
459,18-24,F,University degree,UK,White,0.62967,0.00332,0.14143,0.59042,0.12331,-0.21712,0.07987,6,4,2,0,6,6,6,2,0,4,0,4,4,3,0,3,6,0,0,6,6,3,Regular
460,25-34,M,Masters degree,UK,White,0.91093,1.2861,1.88511,-2.5383,-0.40581,0.52975,0.07987,4,3,0,0,6,4,6,2,0,3,0,4,3,3,3,3,5,0,0,5,4,3,Occasional
461,18-24,F,University degree,UK,White,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,6,3,3,4,6,5,6,3,0,2,3,5,3,2,3,2,6,0,0,6,6,2,Regular
462,18-24,M,"Some college or university, no certificate or degree",UK,White,1.49158,-1.37639,-2.63199,1.81866,-1.25773,0.52975,-1.18084,5,0,2,0,6,2,4,0,0,3,0,0,2,0,0,2,0,0,0,0,5,2,Occasional
463,35-44,M,"Some college or university, no certificate or degree",UK,White,0.82562,0.47617,1.43533,0.13136,-2.30408,1.29221,1.2247,3,2,2,1,6,2,6,2,0,2,0,0,2,1,0,1,6,0,1,6,3,1,Occasional
464,45-54,M,Left school at 18 years,UK,White,1.02119,-0.94779,-0.58331,1.45039,-1.25773,-0.21712,0.40148,6,1,2,0,6,1,3,1,0,0,0,0,1,1,0,1,3,0,1,3,6,1,Non-User
465,18-24,F,University degree,UK,White,0.31287,-0.80615,1.06238,0.76096,0.93949,0.19268,-0.21575,5,2,2,3,5,3,5,0,0,2,0,0,2,3,3,3,6,0,0,6,5,3,Occasional
466,18-24,F,Masters degree,UK,White,1.37297,-1.09207,-0.01928,-0.45321,-0.40581,1.29221,0.7654,5,0,2,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,Occasional
467,18-24,F,University degree,UK,Asian,0.31287,0.63779,1.06238,1.11406,-0.27607,-0.71126,0.7654,0,2,0,2,6,6,5,0,0,3,0,0,2,0,0,2,6,0,2,6,2,2,Regular
468,45-54,M,University degree,UK,White,0.22393,0.00332,1.24033,-0.01729,1.46191,-0.21712,-0.21575,6,1,1,0,2,1,5,1,0,0,0,0,0,1,0,1,2,0,0,2,6,1,Non-User
469,35-44,M,University degree,UK,White,-0.05188,0.16767,-0.71727,-0.30172,0.12331,-1.37983,-1.18084,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Non-User
470,25-34,M,University degree,UK,White,-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,5,3,2,0,6,3,5,3,0,3,0,0,2,3,0,2,6,0,0,6,5,3,Occasional
471,45-54,F,Left school at 16 years,USA,White,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,3,1,1,6,6,1,6,1,1,1,2,0,0,1,6,0,6,0,0,6,6,1,Non-User
472,18-24,F,University degree,UK,White,0.13606,0.80523,0.29338,-0.15487,0.7583,-0.71126,-0.84637,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non-User
473,18-24,M,Masters degree,UK,Mixed-White/Black,-0.92104,2.57309,1.06238,1.11406,2.33337,-0.21712,0.40148,5,2,2,2,6,6,5,2,0,3,0,0,2,3,0,3,6,0,0,6,5,3,Regular
474,18-24,F,Left school before 16 years,UK,White,0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575,5,2,2,2,6,3,5,2,2,2,2,0,2,2,2,0,6,0,2,6,5,2,Occasional
475,35-44,F,"Some college or university, no certificate or degree",USA,White,1.37297,0.00332,-0.45174,-0.76096,-0.52745,0.88113,-0.21575,2,0,0,3,6,6,5,2,0,0,0,0,0,0,2,0,6,0,0,6,3,0,Regular
476,55-64,F,University degree,UK,Mixed-White/Asian,-0.24649,0.96248,0.14143,-0.15487,0.41594,-1.37983,-2.07848,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Non-User
477,45-54,F,University degree,USA,White,-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,3,1,0,0,6,6,4,1,0,0,0,0,0,1,0,0,1,0,0,1,3,1,Regular
478,35-44,M,University degree,UK,White,1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,6,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,6,0,3,6,6,0,Occasional
479,35-44,F,Professional certificate/ diploma,UK,White,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,6,0,1,6,6,2,5,3,0,0,0,0,0,0,0,0,6,0,0,6,6,0,Occasional
480,25-34,F,University degree,UK,White,0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,6,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,Occasional
481,25-34,F,Masters degree,Australia,White,0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,0.40148,6,0,0,2,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,Occasional
482,18-24,M,"Some college or university, no certificate or degree",USA,White,1.13281,-0.80615,-0.17779,-1.34289,-0.65253,-1.37983,-0.84637,3,3,0,3,6,3,4,3,0,3,3,3,3,3,3,3,6,0,0,6,3,3,Occasional
483,35-44,F,University degree,Australia,White,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,6,2,1,6,6,3,5,2,0,2,1,1,0,1,2,1,6,0,0,6,6,1,Occasional
484,35-44,M,"Some college or university, no certificate or degree",UK,White,-0.67825,-0.15487,0.29338,0.13136,1.63088,-0.71126,-0.21575,0,1,0,0,6,6,2,1,0,1,1,0,0,1,0,1,3,0,1,3,1,1,Regular
485,25-34,F,University degree,UK,White,1.23461,0.47617,1.43533,0.28783,0.93949,0.19268,-0.84637,2,0,2,2,5,6,5,0,0,4,0,3,2,0,0,3,3,0,0,3,2,3,Regular
486,35-44,F,Left school at 16 years,UK,White,-0.58016,0.96248,-0.58331,0.76096,-0.27607,-1.37983,-1.18084,4,1,1,0,6,6,6,1,0,1,0,0,0,0,0,0,6,0,0,6,4,0,Regular
487,45-54,F,Left school at 16 years,UK,White,-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,6,0,1,0,6,6,5,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,Regular
488,25-34,M,Left school at 18 years,Other,White,1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,5,5,0,2,6,5,4,0,0,0,0,0,2,0,0,0,5,0,1,5,5,0,Regular
489,35-44,F,Left school at 18 years,USA,White,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,4,0,0,6,6,6,6,1,1,0,1,0,0,1,0,1,6,0,0,6,6,1,Regular
490,25-34,M,Left school at 16 years,UK,White,0.41667,-1.37639,0.14143,0.76096,-0.40581,-0.21712,1.2247,6,3,2,2,6,6,6,3,0,3,0,0,3,0,0,2,3,0,2,3,6,2,Regular
491,18-24,M,Left school before 16 years,UK,White,1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,3,0,0,0,0,6,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,Regular
492,18-24,M,"Some college or university, no certificate or degree",UK,White,-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,5,0,0,0,6,6,5,3,0,4,0,3,4,4,0,4,5,0,0,5,5,4,Regular
493,45-54,F,Professional certificate/ diploma,UK,White,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,5,1,1,1,6,6,5,1,1,1,1,0,0,1,1,1,6,0,0,6,5,1,Regular
494,18-24,M,Left school at 18 years,UK,White,-0.92104,0.47617,0.44585,0.59042,-0.00665,0.19268,0.40148,6,2,2,0,5,6,4,3,0,4,0,2,3,0,0,3,4,0,2,4,6,3,Regular
495,18-24,M,Professional certificate/ diploma,UK,White,0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,5,0,4,4,6,6,5,0,0,0,0,0,3,0,0,0,6,0,0,6,5,0,Regular
496,18-24,M,"Some college or university, no certificate or degree",UK,White,0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,6,0,0,0,6,3,5,0,0,5,0,3,3,4,0,4,6,0,0,6,6,4,Occasional
497,18-24,M,Professional certificate/ diploma,Other,Other,-1.1943,-0.43999,0.44585,0.59042,0.12331,-1.37983,-0.21575,4,0,2,0,6,6,5,0,0,0,0,0,0,0,0,0,6,0,0,6,4,0,Regular
498,55-64,M,"Some college or university, no certificate or degree",USA,White,-0.79151,0.16767,0.58331,0.59042,0.93949,-1.37983,-0.52593,3,1,0,1,6,2,6,1,0,0,0,0,3,1,4,0,6,0,0,6,3,1,Occasional
499,25-34,M,Masters degree,UK,White,0.04257,1.2861,2.90161,-0.60633,-0.00665,-0.71126,0.07987,6,2,2,2,6,2,6,2,0,2,0,0,0,2,0,2,6,0,0,6,6,2,Occasional
500,25-34,M,Left school at 16 years,Other,White,-0.05188,-0.57545,0.88309,0.43852,-0.78155,-0.21712,0.07987,4,1,1,0,6,6,5,1,0,1,0,0,0,1,0,1,6,0,1,6,4,1,Regular
501,55-64,F,"Some college or university, no certificate or degree",UK,White,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247,5,1,1,3,6,6,6,2,2,2,1,0,2,1,1,1,2,0,0,2,5,1,Regular
502,35-44,F,Professional certificate/ diploma,Republic of Ireland,White,0.04257,0.47617,-0.84732,-0.76096,1.13407,0.52975,0.7654,3,0,1,2,6,6,6,4,0,4,0,0,3,0,0,0,6,0,1,6,3,0,Regular
503,25-34,F,Professional certificate/ diploma,UK,White,-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,3,1,0,0,6,2,5,0,0,1,0,0,0,0,2,0,6,0,1,6,3,0,Occasional
504,18-24,M,"Some college or university, no certificate or degree",USA,White,-1.55078,0.63779,-0.31776,-0.60633,-0.27607,0.52975,0.7654,5,0,0,0,6,6,6,0,0,0,0,0,0,4,0,3,5,0,0,5,5,4,Regular
505,55-64,F,Professional certificate/ diploma,Canada,White,0.04257,-0.30033,-0.31776,-0.76096,0.58489,1.29221,0.7654,1,0,1,4,5,5,4,1,1,0,0,0,6,1,4,1,1,0,1,4,4,1,Regular
506,35-44,M,Left school at 16 years,UK,White,-0.05188,0.00332,-0.31776,-0.01729,0.41594,-1.37983,-1.18084,1,0,0,0,6,6,5,0,0,0,0,0,0,0,0,1,6,0,0,6,1,1,Regular
507,45-54,M,Professional certificate/ diploma,Other,White,0.41667,0.47617,0.29338,-1.07533,-1.13788,0.88113,0.07987,3,1,0,3,6,2,6,2,0,1,0,0,0,1,0,1,6,0,0,6,3,1,Occasional
508,35-44,M,University degree,UK,White,-0.46725,0.63779,0.88309,-0.76096,0.58489,0.19268,0.07987,4,2,3,1,6,2,5,1,0,0,0,0,2,0,0,3,2,0,1,2,4,3,Occasional
509,25-34,M,University degree,UK,White,0.13606,-0.30033,-0.97631,-1.34289,-0.00665,0.19268,-0.52593,3,2,3,0,5,6,6,3,0,2,0,2,0,0,0,2,6,0,0,6,3,2,Regular
510,35-44,M,Left school at 16 years,UK,White,1.49158,-1.09207,-1.11902,-1.772,-0.78155,-0.71126,0.07987,5,2,2,3,5,2,6,1,0,0,0,0,0,1,0,0,2,0,0,2,5,1,Occasional
511,35-44,F,Masters degree,Other,White,-1.05308,1.11406,-0.31776,0.28783,0.12331,-1.37983,-0.52593,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,Non-User
512,35-44,M,University degree,UK,White,0.04257,0.96248,-0.58331,-0.30172,-0.40581,0.52975,-0.21575,5,2,2,0,6,5,5,2,1,2,0,1,0,1,0,1,5,0,0,5,5,1,Regular
513,45-54,F,Masters degree,UK,White,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084,5,1,1,1,6,5,6,1,1,0,1,0,0,1,1,0,5,0,0,5,5,1,Regular
514,18-24,M,"Some college or university, no certificate or degree",UK,White,0.41667,0.47617,0.58331,0.13136,-1.0145,1.86203,0.40148,6,3,0,0,6,6,6,3,0,3,0,0,3,0,5,0,6,0,0,6,6,0,Regular
515,55-64,M,Left school at 16 years,USA,White,-0.14882,-0.30033,-0.17779,0.76096,0.41594,-0.21712,-0.21575,3,2,1,1,6,5,6,4,3,3,1,0,0,1,2,1,6,0,1,6,3,1,Regular
516,35-44,M,Left school at 16 years,UK,White,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,-0.21712,-0.21575,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,Non-User
517,18-24,F,Left school at 17 years,USA,White,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,5,3,0,5,6,6,5,0,0,3,0,0,4,0,4,3,6,0,2,6,5,3,Regular
518,35-44,F,Left school at 16 years,UK,White,-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593,6,2,2,2,6,2,6,2,2,1,2,1,0,0,2,2,6,0,1,6,6,2,Occasional
519,25-34,F,Masters degree,UK,White,0.31287,-0.15487,0.29338,-0.45321,0.93949,-0.71126,-0.21575,2,0,2,3,6,2,5,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,Occasional
520,25-34,M,Professional certificate/ diploma,Other,White,0.52135,-0.57545,0.14143,-0.15487,-0.78155,0.52975,1.2247,2,3,2,6,6,6,6,3,0,3,3,0,0,2,2,0,6,0,1,6,6,2,Regular
521,25-34,M,Masters degree,UK,White,-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,5,2,2,4,5,3,5,2,2,3,2,2,0,0,0,0,5,0,2,5,5,0,Occasional
522,35-44,F,University degree,UK,White,0.22393,-0.30033,-0.97631,-0.76096,0.93949,-1.37983,-2.07848,5,0,2,0,6,3,5,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,Occasional
523,45-54,F,Left school at 16 years,Australia,White,0.62967,-0.30033,-0.84732,-0.45321,0.12331,-0.71126,-1.18084,3,0,0,6,5,4,6,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,Occasional
524,18-24,M,"Some college or university, no certificate or degree",USA,White,0.04257,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,5,0,0,0,6,6,5,0,0,3,0,0,0,3,0,3,6,0,0,6,5,3,Regular
525,18-24,M,"Some college or university, no certificate or degree",UK,White,-0.24649,0.47617,-0.17779,-0.76096,-1.25773,0.19268,0.07987,5,0,0,0,6,6,6,0,0,0,0,0,4,0,0,0,6,0,0,6,5,0,Regular
526,35-44,F,Left school before 16 years,UK,White,0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848,2,2,2,2,6,2,5,2,2,2,2,0,0,1,2,0,3,0,1,3,2,1,Occasional
527,45-54,F,University degree,Australia,White,-0.67825,0.63779,1.06238,2.03972,2.63199,0.19268,0.07987,5,1,1,6,0,6,3,1,1,1,0,0,0,3,6,1,0,0,1,6,6,3,Regular
528,55-64,M,Left school at 18 years,UK,White,-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,Non-User
529,18-24,M,Professional certificate/ diploma,UK,White,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,0.88113,0.07987,4,0,2,0,4,5,5,4,0,3,0,0,2,0,3,0,4,0,0,4,4,0,Regular
530,35-44,M,Doctorate degree,UK,White,0.62967,-0.15487,-0.17779,0.59042,-1.64101,0.52975,-0.21575,6,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Occasional
531,25-34,F,Professional certificate/ diploma,UK,White,0.73545,1.11406,-0.01928,-0.01729,-0.00665,-0.21712,1.2247,5,2,2,1,6,3,6,5,0,2,0,1,0,1,0,2,5,0,1,5,5,2,Occasional
532,55-64,M,University degree,UK,White,0.91093,0.00332,0.58331,-1.92595,0.58489,-0.21712,-1.18084,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Non-User
533,45-54,M,University degree,UK,White,1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,5,2,1,2,6,6,5,3,3,2,1,0,0,2,2,2,6,0,1,6,5,2,Regular
534,18-24,F,University degree,UK,White,-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,4,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,Non-User
535,25-34,M,Masters degree,UK,White,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,0.52975,0.07987,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non-User
536,35-44,F,Masters degree,UK,White,-1.86962,2.32338,-0.45174,1.45039,1.46191,0.19268,-1.18084,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,Non-User
537,25-34,F,University degree,USA,White,0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575,5,4,0,6,6,2,4,6,0,2,3,2,0,2,3,2,6,0,1,6,6,2,Occasional
538,18-24,F,University degree,UK,White,1.37297,0.80523,-0.97631,0.94156,-0.65253,0.52975,0.07987,6,0,3,0,5,4,5,3,0,3,0,0,3,0,0,0,3,0,0,3,6,0,Occasional
539,45-54,F,"Some college or university, no certificate or degree",UK,Asian,0.73545,-0.30033,-1.27553,0.76096,-0.89891,-1.37983,-1.54858,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,Non-User
540,35-44,F,University degree,UK,White,1.13281,-0.30033,-0.01928,0.59042,0.58489,0.19268,0.40148,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,Non-User
541,45-54,M,Masters degree,UK,White,-1.32828,1.2861,-0.17779,0.59042,1.81175,-2.55524,-1.18084,6,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Non-User
542,45-54,F,University degree,UK,White,-1.05308,0.32197,-0.17779,-0.91699,0.12331,-1.37983,-1.54858,5,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,Non-User
543,45-54,F,University degree,Other,Black,0.22393,0.80523,-0.01928,0.76096,0.41594,0.19268,0.07987,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non-User
544,35-44,M,Left school at 17 years,UK,White,0.73545,0.80523,0.88309,-1.21213,-1.0145,0.19268,1.2247,6,1,1,5,6,5,5,2,0,2,1,2,4,1,0,1,6,0,1,6,6,1,Regular
545,25-34,F,University degree,UK,White,0.82562,0.63779,-0.97631,-0.76096,0.25953,-0.21712,-0.21575,6,0,0,0,5,0,5,2,0,2,0,0,0,0,0,0,5,0,0,5,6,0,Non-User
546,18-24,F,Left school at 16 years,UK,White,1.23461,-0.57545,-0.71727,-0.76096,-1.0145,1.29221,-0.21575,5,0,2,0,6,4,5,0,0,0,0,0,0,0,0,0,6,0,1,6,5,0,Occasional
547,35-44,F,Professional certificate/ diploma,UK,White,1.60383,0.16767,-0.45174,0.59042,-0.78155,-0.71126,-0.21575,5,0,0,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Non-User
548,45-54,F,"Some college or university, no certificate or degree",USA,White,-0.92104,-0.43999,0.88309,3.15735,-0.00665,-1.37983,-1.18084,2,2,0,2,6,2,6,2,2,0,0,0,0,1,2,0,6,0,0,6,2,1,Occasional
549,25-34,F,Masters degree,UK,White,-1.86962,-0.69509,-0.97631,-0.45321,2.04506,-1.37983,-0.84637,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Non-User
550,18-24,M,University degree,UK,White,1.23461,-0.43999,0.14143,0.13136,-1.78169,0.52975,-1.18084,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,Non-User
551,25-34,F,Masters degree,Other,White,-1.1943,1.11406,0.14143,-0.60633,-0.14277,-0.21712,-0.84637,4,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,Occasional
552,18-24,F,University degree,UK,White,-0.14882,-0.43999,-1.42424,0.76096,1.30612,-1.37983,-0.52593,6,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,Occasional
553,35-44,F,Masters degree,UK,White,-0.79151,1.2861,0.14143,-1.07533,1.13407,-0.21712,1.2247,4,2,1,0,6,4,5,3,0,3,0,3,3,3,0,3,3,0,0,3,4,3,Occasional
554,18-24,F,Masters degree,UK,White,1.72012,-1.50796,-0.17779,0.76096,0.25953,-0.21712,-1.18084,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Non-User
555,25-34,F,Masters degree,Other,Mixed-White/Black,1.02119,-1.92173,-0.45174,-0.01729,0.41594,-0.71126,-2.07848,6,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Occasional
556,25-34,F,Doctorate degree,UK,White,0.62967,0.47617,-0.45174,-0.01729,1.30612,0.52975,0.07987,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non-User
557,45-54,F,Masters degree,UK,White,0.22393,-0.94779,-1.11902,-0.01729,0.93949,-0.71126,-1.18084,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Non-User
558,18-24,F,University degree,UK,White,-0.14882,-0.30033,0.29338,-0.15487,0.25953,-1.37983,-0.52593,6,2,2,0,6,2,4,0,0,3,0,2,3,0,0,2,2,0,0,2,6,2,Occasional
559,25-34,F,University degree,UK,White,-1.69163,0.96248,-0.17779,1.45039,1.30612,-0.71126,-0.21575,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non-User
560,18-24,F,University degree,UK,White,-0.46725,-0.15487,-0.58331,0.94156,-0.14277,1.29221,1.2247,5,2,2,0,6,2,3,2,0,0,0,0,0,0,0,0,2,0,0,2,5,0,Occasional
561,45-54,F,University degree,UK,White,-0.79151,0.00332,0.44585,0.28783,1.13407,0.19268,-0.52593,6,1,1,0,6,1,6,1,0,0,0,0,0,1,0,0,6,0,0,6,6,1,Non-User
562,18-24,F,University degree,UK,White,1.02119,0.16767,-0.71727,0.28783,0.41594,-0.71126,-0.52593,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Non-User
